N_operations,F_op,F_sequence
560,0.998,0.3259140783894309
580,0.998,0.3131222627210042
600,0.998,0.3008325135754587
620,0.998,0.28902512532226216
640,0.998,0.27768116575802204
660,0.998,0.26678244575021015
680,0.998,0.2563114900723428
700,0.998,0.24625150938385126
720,0.998,0.23658637330971652
740,0.998,0.22730058457670171
760,0.998,0.21837925416471335
780,0.998,0.2098080774334473
800,0.998,0.2015733111860415
820,0.998,0.19366175163295815
840,0.998,0.18606071322076242
860,0.998,0.1787580082918514
880,0.998,0.17174192754251916
900,0.998,0.16500122124802408
920,0.998,0.15852508122455444
940,0.998,0.15230312349916938
960,0.998,0.14632537165992826
980,0.998,0.14058224085951138
1000,0.998,0.13506452244668338
