T_coh_s,t_operation_ms,N_useful
1,0.05,20000.0
1,0.1,10000.0
1,0.25,4000.0
1,0.5,2000.0
1,1.0,1000.0
2,0.05,40000.0
2,0.1,20000.0
2,0.25,8000.0
2,0.5,4000.0
2,1.0,2000.0
5,0.05,100000.0
5,0.1,50000.0
5,0.25,20000.0
5,0.5,10000.0
5,1.0,5000.0
10,0.05,200000.0
10,0.1,100000.0
10,0.25,40000.0
10,0.5,20000.0
10,1.0,10000.0
20,0.05,400000.0
20,0.1,200000.0
20,0.25,80000.0
20,0.5,40000.0
20,1.0,20000.0
50,0.05,1000000.0
50,0.1,500000.0
50,0.25,200000.0
50,0.5,100000.0
50,1.0,50000.0
