filling_fraction,N_atoms
0.2,2400.0
0.25,3000.0
0.3,3600.0
0.35,4200.0
0.4,4800.0
0.45,5400.0
0.5,6000.0
0.55,6600.000000000001
0.6,7200.0
0.65,7800.0
0.7,8400.0
0.75,9000.0
0.8,9600.0
0.85,10200.0
0.9,10800.0
0.95,11400.0
1.0,12000.0
